Scientific Name ,Taxon ,Year ,Status ,received ,Budget ,O_U
Bonamia grandiflora ,Plant ,1996,2,0.34,"$83,599 ",Under
Echinacea tennesseensis ,Plant ,1989,2,0.19,"$82,955 ",Under
Scirpus ancistrochaetus ,Plant ,1993,2,0.12,"$153,487 ",Under
Dudleya traskiae ,Plant ,1985,2,0.1,"$60,760 ",Under
Calyptronoma rivalis ,Plant ,1992,2,0.09,"$61,420 ",Under
Phyllostegia waimeae ,Plant ,1995,2,0.08,"$66,531 ",Under
Chionanthus pygmaeus ,Plant ,1989,2,0.01,"$5,627,059 ",Under
Sidalcea oregana calva ,Plant ,2004,3,0.62,"$78,720 ",Under
Centaurium namophilum ,Plant ,1990,3,0.42,"$68,094 ",Under
Hudsonia montana ,Plant ,1983,3,0.31,"$21,138 ",Under
Sarracenia oreophila ,Plant ,1994,3,0.29,"$111,993 ",Under
Mirabilis macfarlanei ,Plant ,2000,3,0.15,"$482,625 ",Under
Chrysopsis floridana ,Plant ,2009,3,0.15,"$76,300 ",Under
Conradina glabra ,Plant ,1994,3,0.14,"$44,274 ",Under
Stahlia.monosperma,Plant,1996,3,0.05,95707,Under
Xyris tennesseensis ,Plant ,1994,4,0.36,"$70,127 ",Under
Hedeoma todsenii ,Plant ,2001,4,0.11,"$147,840 ",Under
Oxytropis campestris chartacea ,Plant ,1991,4,0.05,"$181,688 ",Under
Iliamna corei ,Plant ,1990,5,0.31,"$24,758 ",Under
Castilleja grisea ,Plant ,1984,5,0.29,"$90,048 ",Under
Malacothamnus clementinus ,Plant ,1984,5,0.28,"$90,048 ",Under
Delphinium variegatum kinkiense ,Plant ,1984,5,0.27,"$90,048 ",Under
Marshallia mohrii ,Plant ,1991,5,0.08,"$56,430 ",Under
Liatris helleri ,Plant ,2000,5,0.06,"$65,925 ",Under
Trifolium stoloniferum ,Plant ,2007,6,0.37,"$155,232 ",Under
Lotus dendroideus traskiae ,Plant ,1984,6,0.34,"$90,048 ",Under
Argyroxiphium kauense ,Plant ,1995,6,0.26,"$177,370 ",Under
Betula uber ,Plant ,1990,7,0.29,"$28,614 ",Under
Frankenia johnstonii ,Plant ,1988,8,0.41,"$73,218 ",Under
Gambelia silus ,Reptile ,1998,-10,0.23,"$1,303,380 ",Under
Dermochelys coriacea ,Reptile ,1995,-7,0.53,"$4,989,713 ",Under
Thamnophis sirtalis tetrataenia ,Reptile ,1985,-7,0.47,"$197,832 ",Under
Nerodia erythrogaster neglecta ,Reptile ,2008,-7,0.45,"$388,800 ",Under
Drymarchon corais couperi ,Reptile ,2009,-6,0.33,"$1,830,434 ",Under
Gopherus agassizii ,Reptile ,2011,-5,0.75,"$11,130,000 ",Under
Eretmochelys imbricata ,Reptile ,1995,-5,0.56,"$2,913,120 ",Under
Thamnophis gigas ,Reptile ,1999,-4,0.48,"$3,010,386 ",Under
Epicrates inornatus ,Reptile ,1986,-4,0.3,"$142,000 ",Under
Neoseps reynoldsi ,Reptile ,1989,-4,0.01,"$5,627,059 ",Under
Eumeces egregius lividus ,Reptile ,1989,-4,0.01,"$5,627,059 ",Under
Graptemys oculifera ,Reptile ,1988,-3,0.2,"$71,577 ",Under
Caretta caretta ,Reptile ,2008,-3,0.13,"$32,616,000 ",Under
Graptemys flavimaculata ,Reptile ,1993,-3,0.12,"$185,150 ",Under
Masticophis lateralis euryxanthus ,Reptile ,2003,-2,0.22,"$688,605 ",Under
Nerodia sipedon insularum ,Reptile ,2003,0,0.16,"$243,840 ",Under
Cyclura cornuta stejnegeri ,Reptile ,1984,0,0.02,"$728,000 ",Under
Anolis roosevelti ,Reptile ,1983,0,0.02,"$70,200 ",Under
Sphaerodactylus micropithecus ,Reptile ,1986,0,0.01,"$564,450 ",Under
Crotalus willardi obscurus ,Reptile ,1985,1,0.4,"$95,480 ",Under
Ameiva polops ,Reptile ,1984,2,0.26,"$36,587 ",Under
Chelonia mydas ,Reptile ,1998,2,0.14,"$22,947,210 ",Under
Nerodia paucimaculata ,Reptile ,1993,2,0.08,"$399,426 ",Under
Epicrates monensis granti ,Reptile ,1986,2,0.03,"$281,160 ",Under
Xantusia riversiana ,Reptile ,1984,3,0.33,"$90,048 ",Under
Epicrates monensis monensis ,Reptile ,1984,3,0.01,"$642,133 ",Under
Crocodylus acutus ,Reptile ,1989,4,0.03,"$5,627,059 ",Under
Lepidochelys kempii ,Reptile ,2011,5,0.41,"$5,251,050 ",Under
